country_name,region,gdp,year
Lesotho,Africa,"2,584",2023
Cape Verde,Africa,"2,468",2023
Gambia,Africa,"2,277",2023
Saint Lucia,Americas,"2,262",2023
East Timor,Asia,"1,988",2023
Seychelles,Africa,"1,950",2023
Guinea-Bissau,Africa,"1,887",2023
Antigua and Barbuda,Americas,"1,864",2023
San Marino,Europe,"1,807",2023
Zanzibar,Africa,—,—
Solomon Islands,Oceania,"1,701",2023
British Virgin Islands,Americas,—,—
Comoros,Africa,"1,348",2023
Grenada,Americas,"1,274",2023
Vanuatu,Oceania,"1,064",2023
Saint Kitts and Nevis,Americas,"1,052",2023
Saint Vincent and the Grenadines,Americas,"1,039",2023
Turks and Caicos Islands,Americas,—,"1,139"
Samoa,Oceania,898,2023
Sint Maarten,Americas,—,"1,572"
Dominica,Americas,681,2023
São Tomé and Príncipe,Africa,625,2023
Tonga,Oceania,541,2023
Micronesia,Oceania,456,2023
Marshall Islands,Oceania,291,2023
Cook Islands,Oceania,—,—
Palau,Oceania,262,2023
Anguilla,Americas,—,—
Kiribati,Oceania,248,2023
Nauru,Oceania,151,2023
Montserrat,Americas,—,—
Tuvalu,Oceania,65,2023
